arch	file	size	sha256	source
win64	libtinyptc.a	11030	c242e85e8121f34bf60adf77f2648a11be24f8f59c4f5e95734a296447669819	SourceForge TinyPTC Windows 0.8 source, built static with MSYS2 x86_64-w64-mingw32-gcc and contrib/winlibs-legacy/patches/tinyptc-0.8-win64-gcc-types-no-mmx.patch
win64	libtinyptc-win.a	11030	c242e85e8121f34bf60adf77f2648a11be24f8f59c4f5e95734a296447669819	Alias archive for win64 TinyPTC windowed examples, same build as libtinyptc.a
win64	bin/win64/iup.dll	1382392	474b0153b35c6b103c8da2f91295e3205729c82cb3ef42b03a3883693da1fc80	IUP SourceForge 3.32 Windows Libraries/Dynamic/iup-3.32_Win64_dllw6_lib.zip
win32	libatk-1.0.dll.a	215486	10aed324cf169f5b384facadd6fffbe629eb018d126e8e5b7fdd6d8dae2d3e7f	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-atk-2.60.2-1-any.pkg.tar.zst
win32	libgdk_pixbuf-2.0.dll.a	101918	e3b856b96e5d4647be2162471da5a568fcba20d241becbbb9875f9e62fecefd4	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gdk-pixbuf2-2.44.6-1-any.pkg.tar.zst
win32	libgdk-3.dll.a	480294	c79d082ad5ba399ce4234e242eb5a0afe2e6a5f23179ceb15e12465a9cf48e35	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk3-3.24.51-2-any.pkg.tar.zst
win32	libgdkglext-win32-1.0.dll.a	1048330	c7bf77fd964709b22d89644aa33b5ada20b17b5f3e88f867defe3bfb74a7e52e	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtkglext-1.2.0-4-any.pkg.tar.zst
win32	libgdk-win32-2.0.dll.a	527726	ac6bc33a22313947b9a5be64fe63a4c3c0abc2dd9c8cbb7bceea0108d03311d6	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-gtk2-2.24.33-6-any.pkg.tar.zst
win32	libglade-2.0.dll.a	26802	925158a1d9d65024f7cb96ac909556077bb114d48b8f77a0ee21a1e629e59101	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-libglade-2.6.4-6-any.pkg.tar.zst
win32	libgoocanvas-3.0.dll.a	203546	4705d04f36555451eaf963e8aafe229f767d56242c01d968981fdbcb47972b75	MSYS2 repo.msys2.org mingw/i686/mingw-w64-i686-goocanvas-3.0.0-4-any.pkg.tar.zst
